iter	Logloss
0	0.6328668982
1	0.5799533161
2	0.5408623945
3	0.5011894237
4	0.4669539673
5	0.4401918919
6	0.4171934627
7	0.3916175503
8	0.3696695746
9	0.3531927748
10	0.3353352365
11	0.3218186513
12	0.3095238401
13	0.2973061929
14	0.2889740958
15	0.2818236743
16	0.2715250939
17	0.2642916473
18	0.2564511652
19	0.2495138664
20	0.2427000546
21	0.2378762096
22	0.2316332205
23	0.2278171647
24	0.2235434099
25	0.2194666427
26	0.2155305369
27	0.210928279
28	0.2071795276
29	0.2049108632
30	0.2021326777
31	0.1993396424
32	0.1977267093
33	0.1956973376
34	0.1937311863
35	0.1920717192
36	0.1901862701
37	0.1879720775
38	0.186920841
39	0.1850146416
40	0.1836255889
41	0.1821941031
42	0.1806735916
43	0.1792951775
44	0.1774616643
45	0.1762309838
46	0.1753112364
47	0.1743811121
48	0.1733135618
49	0.1727401862
50	0.1716939236
51	0.1701048587
52	0.1696536074
53	0.1686603132
54	0.1679144981
55	0.1669023065
56	0.1658578102
57	0.1652605147
58	0.1644670286
59	0.1633752997
60	0.1624424596
61	0.1619241493
62	0.1608243998
63	0.1601136147
64	0.1598782564
65	0.1595152041
66	0.1592754242
67	0.1584886177
68	0.1580840999
69	0.1578464223
70	0.1575181567
71	0.1572782805
72	0.1564825548
73	0.1563115797
74	0.1560637098
75	0.1558591425
76	0.1552164307
77	0.1550744541
78	0.1545948955
79	0.1543367748
80	0.1542373096
81	0.1535045798
82	0.1533833253
83	0.1530290229
84	0.1528446628
85	0.152718495
86	0.1521735529
87	0.1519986168
88	0.1513774542
89	0.1509920311
90	0.1507303986
91	0.150444013
92	0.1499675321
93	0.1497671808
94	0.1494461351
95	0.1493161562
96	0.1490687816
97	0.1489505457
98	0.1484503869
99	0.1483637092
