iter	Passed	Remaining
0	59	5904
1	60	2969
2	61	1990
3	62	1506
4	64	1225
5	65	1032
6	66	887
7	67	778
8	69	700
9	71	639
10	72	582
11	73	535
12	73	494
13	74	459
14	75	429
15	76	402
16	77	379
17	78	359
18	81	346
19	83	332
20	84	319
21	86	306
22	88	297
23	90	286
24	91	274
25	92	263
26	93	254
27	96	249
28	99	244
29	101	237
30	103	231
31	105	224
32	107	218
33	109	212
34	111	207
35	113	202
36	115	196
37	117	191
38	119	186
39	121	181
40	122	176
41	124	171
42	125	166
43	127	161
44	128	156
45	129	152
46	131	148
47	133	144
48	134	139
49	135	135
50	136	131
51	137	126
52	138	122
53	139	118
54	140	114
55	141	111
56	143	108
57	144	104
58	146	102
59	148	99
60	149	95
61	150	92
62	151	88
63	152	85
64	153	82
65	154	79
66	157	77
67	159	74
68	160	72
69	162	69
70	165	67
71	168	65
72	170	62
73	172	60
74	173	57
75	175	55
76	176	52
77	177	50
78	178	47
79	179	44
80	181	42
81	183	40
82	185	37
83	187	35
84	189	33
85	191	31
86	193	28
87	194	26
88	195	24
89	196	21
90	198	19
91	200	17
92	201	15
93	202	12
94	203	10
95	205	8
96	206	6
97	207	4
98	208	2
99	210	0
