iter	Passed	Remaining
0	67	6640
1	68	3374
2	70	2266
3	71	1706
4	72	1368
5	72	1142
6	73	980
7	78	902
8	90	914
9	97	873
10	100	815
11	103	760
12	105	705
13	106	653
14	117	667
15	120	634
16	121	594
17	122	558
18	129	553
19	134	536
20	135	510
21	137	487
22	141	472
23	144	458
24	145	437
25	146	417
26	147	399
27	149	384
28	151	370
29	152	355
30	153	340
31	154	327
32	154	314
33	155	302
34	156	291
35	157	280
36	158	270
37	159	260
38	160	251
39	161	242
40	162	234
41	163	226
42	164	218
43	165	210
44	166	203
45	167	196
46	168	190
47	169	183
48	170	177
49	172	172
50	175	168
51	177	163
52	178	158
53	180	153
54	182	149
55	204	160
56	205	155
57	206	149
58	207	144
59	208	139
60	209	134
61	210	129
62	211	124
63	212	119
64	213	114
65	214	110
66	216	106
67	217	102
68	218	98
69	220	94
70	223	91
71	226	87
72	227	84
73	229	80
74	231	77
75	232	73
76	233	69
77	234	66
78	235	62
79	236	59
80	237	55
81	238	52
82	240	49
83	242	46
84	243	42
85	244	39
86	246	36
87	247	33
88	248	30
89	249	27
90	250	24
91	251	21
92	251	18
93	252	16
94	253	13
95	254	10
96	255	7
97	256	5
98	257	2
99	258	0
